HTTPSPresent,DomainLength,DomainRank,NonAlphabetical,CopyRightLogo,OutsideRationInHeaderScaled,TitleContainDomainName,Label
1,6,3,-1,-1,20,-1,-1
1,6,36,-1,1,20,-1,-1
1,5,11,-1,1,10,-1,-1
1,4,48,-1,-1,20,-1,-1
1,9,21,-1,-1,50,-1,-1
-1,15,3,-1,-1,20,-1,-1
1,6,18,1,-1,0,-1,-1
1,6,4,-1,-1,0,1,-1
1,7,16,-1,1,0,-1,-1
1,9,5,-1,-1,0,-1,-1
1,10,3,-1,-1,10,-1,-1
1,6,25,-1,-1,20,-1,-1
1,5,7,-1,-1,10,-1,-1
1,6,26,-1,1,60,-1,-1
-1,9,27,-1,1,0,-1,-1
1,6,4,-1,-1,60,-1,-1
1,10,2,-1,-1,0,1,-1
-1,10,1,-1,-1,0,-1,-1
1,5,41,-1,-1,60,-1,-1
1,5,608,-1,-1,90,-1,-1
1,12,7,-1,-1,30,-1,-1
1,7,10,-1,-1,0,1,-1
1,6,5,-1,-1,20,-1,-1
1,3,21,-1,-1,0,-1,-1
1,4,0,-1,-1,20,1,-1
1,6,5,-1,-1,20,-1,-1
1,5,9,-1,-1,40,-1,-1
1,9,1,-1,-1,40,-1,-1
1,10,8,-1,1,40,-1,-1
1,6,4,-1,-1,0,-1,-1
1,6,4,-1,1,20,-1,-1
1,6,5,-1,-1,0,-1,-1
1,2,3,-1,-1,50,-1,-1
1,2,3,-1,-1,0,-1,-1
1,6,1,-1,-1,0,-1,-1
1,6,1,-1,-1,90,-1,-1
1,6,1,-1,-1,30,-1,-1
1,5,5,1,1,40,-1,-1
1,4,19,-1,1,10,-1,-1
1,7,2,-1,-1,90,-1,-1
1,8,11,-1,-1,0,-1,-1
1,6,5,-1,-1,10,-1,-1
1,6,5,1,-1,0,-1,-1
1,7,17,-1,-1,70,-1,-1
1,8,4,-1,-1,10,-1,-1
1,2,2,-1,-1,0,1,-1
1,8,20,-1,-1,0,1,-1
1,4,27,-1,1,0,-1,-1
1,5,12,-1,-1,10,-1,-1
1,3,3,1,-1,0,1,-1
1,6,15,-1,-1,0,-1,-1
1,7,10,-1,-1,30,-1,-1
1,4,27,-1,-1,50,-1,-1
1,6,5,-1,-1,0,-1,-1
-1,12,5,-1,-1,0,-1,-1
-1,12,5,-1,-1,0,-1,-1
1,12,5,-1,-1,0,-1,-1
1,3,3,-1,-1,0,-1,-1
1,3,3,-1,-1,0,-1,-1
-1,9,8,-1,-1,10,-1,-1
1,7,14,-1,1,100,-1,-1
1,15,1,-1,-1,0,-1,-1
1,6,5,-1,-1,0,-1,-1
1,6,5,-1,-1,0,-1,-1
1,6,4,-1,-1,0,-1,-1
1,6,4,-1,-1,0,-1,-1
1,6,5,-1,-1,0,-1,-1
1,4,25,-1,-1,70,-1,-1
1,8,4,-1,1,0,-1,-1
1,6,5,-1,-1,0,-1,-1
1,3,1,-1,-1,0,-1,-1
1,3,1,-1,-1,0,-1,-1
1,6,5,-1,-1,0,-1,-1
1,6,5,-1,-1,80,-1,-1
1,6,5,-1,-1,70,-1,-1
1,5,20,-1,1,60,-1,-1
1,7,2,-1,-1,20,-1,-1
1,7,8,-1,-1,0,-1,-1
1,6,5,-1,-1,70,-1,-1
1,6,5,-1,-1,0,-1,-1
1,6,5,-1,-1,20,-1,-1
1,6,41,-1,1,10,-1,-1
1,5,4,-1,-1,30,-1,-1
1,7,4,-1,1,0,-1,-1
1,6,22,-1,-1,20,-1,-1
1,6,5,-1,-1,100,-1,-1
1,6,1,-1,-1,30,-1,-1
1,6,4,-1,-1,0,-1,-1
1,6,25,-1,-1,0,-1,-1
1,7,22,-1,1,20,-1,-1
1,9,34,-1,-1,100,-1,-1
1,6,5,-1,-1,10,-1,-1
1,7,7,-1,-1,100,-1,-1
1,6,5,-1,1,60,-1,-1
-1,11,6,-1,1,100,-1,-1
1,10,2,-1,-1,0,-1,-1
1,11,3,-1,-1,0,-1,-1
1,4,25,-1,-1,80,-1,-1
1,11,55,-1,1,40,-1,-1
-1,6,9,-1,-1,0,-1,-1
1,12,19,-1,-1,0,-1,-1
1,11,3,-1,-1,10,-1,-1
1,7,42,-1,-1,70,-1,-1
1,6,5,-1,-1,10,-1,-1
1,9,3,-1,-1,30,-1,-1
1,8,6,-1,-1,0,-1,-1
1,11,4,-1,-1,90,-1,-1
1,6,5,-1,-1,30,-1,-1
1,6,11,-1,-1,100,1,-1
1,8,17,-1,-1,0,-1,-1
1,9,11,-1,-1,30,-1,-1
1,7,9,-1,-1,100,-1,-1
1,7,6,-1,-1,10,-1,-1
1,3,16,-1,1,10,-1,-1
1,6,2,-1,-1,80,-1,-1
-1,4,36,1,-1,20,-1,-1
